GEOID.x,County,Cox,Moore,Lashar,Wallace,Harding,Sefcik,Write-ins.x,GEOID.y,Hogan,Jealous,Quinn,Schlakman,Write-ins.y,cox_percent,hogan_percent
24001,Allegany,13833,6390,279,143,267,0,17,24001,19224,3985,166,139,16,41.8459025319902,58.1540974680098
24003,Anne Arundel,73775,88375,3554,988,1268,0,588,24003,157202,69399,1366,1052,187,31.940409651177394,68.05959034882261
24510,Baltimore City,11387,112984,1282,1231,1443,0,246,24510,58360,123609,1055,1491,176,16.32615022868367,83.67384977131633
24005,Baltimore County,80759,136462,3993,1648,2409,0,702,24005,198122,122773,1633,1492,256,28.958229495734738,71.04177050426526
24009,Calvert,18447,14236,504,142,242,0,89,24009,29610,9216,303,130,25,38.38566702041326,61.61433297958674
24011,Caroline,6727,3276,176,56,140,0,21,24011,9489,1900,82,28,6,41.483719782930436,58.516280217069564
24013,Carroll,38969,25155,1515,436,561,0,301,24013,62445,11767,533,261,45,38.42566115132033,61.574338848679666
24015,Cecil,18159,8691,472,155,311,21,35,24015,27063,7354,353,154,15,40.155234178054926,59.84476582194507
24017,Charles,15096,33633,408,283,414,0,78,24017,31756,32100,274,193,37,32.22060957910015,67.77939042089986
24019,Dorchester,6169,4341,139,69,157,0,19,24019,9205,3043,72,39,8,40.12618706907766,59.873812930922334
24021,Frederick,44307,51423,1700,555,722,0,306,24021,72560,33355,746,499,59,37.91232768874019,62.08767231125981
24023,Garrett,8195,2402,194,52,138,0,15,24023,9472,1395,86,48,7,46.3859172468444,53.6140827531556
24025,Harford,51930,40837,2033,618,914,0,301,24025,85259,24012,756,461,91,37.852889080028284,62.147110919971716
24027,Howard,33110,83690,2464,802,713,0,419,24027,80574,61146,800,752,111,29.124590971464766,70.87540902853524
24029,Kent,3718,4256,106,56,93,0,10,24029,6370,2222,43,57,2,36.855670103092784,63.144329896907216
24031,Montgomery,58701,227161,3443,2444,1677,0,768,24031,180018,224029,1922,2110,349,24.589999120304626,75.41000087969537
24033,Prince George's,17937,179968,1081,1693,1984,0,314,24033,89925,225889,1469,1423,279,16.629582243978415,83.37041775602158
24035,Queen Anne's,12840,8577,416,120,212,0,89,24035,19503,3268,99,86,15,39.699471292087935,60.30052870791207
24037,Saint Mary's,20670,14365,720,263,361,0,86,NA,NA,NA,NA,NA,NA,NA,NA
24039,Somerset,3974,2254,67,46,81,0,6,24039,5203,2379,71,33,16,43.30391195379754,56.69608804620246
24041,Talbot,7497,7989,289,70,128,0,44,24041,14081,3957,79,66,7,34.74372045602002,65.25627954397997
24043,Washington,27571,17006,646,257,483,0,75,24043,38765,10894,491,268,43,41.56265074770864,58.43734925229137
24045,Wicomico,14612,12213,388,171,358,0,46,24045,22659,10426,284,141,24,39.20474363446111,60.79525636553888
24047,Worcester,13433,8550,273,121,161,0,31,24047,18076,5437,148,82,12,42.632263797645116,57.36773620235488
