"fips","state","age","est_date","population"
1,"ALABAMA",5,"2020-04-01",61522
1,"ALABAMA",6,"2020-04-01",60680
1,"ALABAMA",7,"2020-04-01",60205
1,"ALABAMA",8,"2020-04-01",61254
1,"ALABAMA",9,"2020-04-01",61780
1,"ALABAMA",10,"2020-04-01",63538
1,"ALABAMA",11,"2020-04-01",65968
1,"ALABAMA",12,"2020-04-01",67932
1,"ALABAMA",13,"2020-04-01",67048
1,"ALABAMA",14,"2020-04-01",65220
1,"ALABAMA",15,"2020-04-01",64551
1,"ALABAMA",16,"2020-04-01",65080
1,"ALABAMA",17,"2020-04-01",64450
2,"ALASKA",5,"2020-04-01",10352
2,"ALASKA",6,"2020-04-01",10319
2,"ALASKA",7,"2020-04-01",10308
2,"ALASKA",8,"2020-04-01",10396
2,"ALASKA",9,"2020-04-01",10388
2,"ALASKA",10,"2020-04-01",10292
2,"ALASKA",11,"2020-04-01",10406
2,"ALASKA",12,"2020-04-01",10408
2,"ALASKA",13,"2020-04-01",10157
2,"ALASKA",14,"2020-04-01",9729
2,"ALASKA",15,"2020-04-01",9773
2,"ALASKA",16,"2020-04-01",9609
2,"ALASKA",17,"2020-04-01",9537
4,"ARIZONA",5,"2020-04-01",88767
4,"ARIZONA",6,"2020-04-01",88472
4,"ARIZONA",7,"2020-04-01",88301
4,"ARIZONA",8,"2020-04-01",88476
4,"ARIZONA",9,"2020-04-01",89188
4,"ARIZONA",10,"2020-04-01",91892
4,"ARIZONA",11,"2020-04-01",95678
4,"ARIZONA",12,"2020-04-01",99470
4,"ARIZONA",13,"2020-04-01",98954
4,"ARIZONA",14,"2020-04-01",96059
4,"ARIZONA",15,"2020-04-01",94768
4,"ARIZONA",16,"2020-04-01",94507
4,"ARIZONA",17,"2020-04-01",92018
5,"ARKANSAS",5,"2020-04-01",38630
5,"ARKANSAS",6,"2020-04-01",38044
5,"ARKANSAS",7,"2020-04-01",38005
5,"ARKANSAS",8,"2020-04-01",38647
5,"ARKANSAS",9,"2020-04-01",38747
5,"ARKANSAS",10,"2020-04-01",39906
5,"ARKANSAS",11,"2020-04-01",41101
5,"ARKANSAS",12,"2020-04-01",42597
5,"ARKANSAS",13,"2020-04-01",42562
5,"ARKANSAS",14,"2020-04-01",41137
5,"ARKANSAS",15,"2020-04-01",40638
5,"ARKANSAS",16,"2020-04-01",40738
5,"ARKANSAS",17,"2020-04-01",40220
6,"CALIFORNIA",5,"2020-04-01",495278
6,"CALIFORNIA",6,"2020-04-01",490958
6,"CALIFORNIA",7,"2020-04-01",494655
6,"CALIFORNIA",8,"2020-04-01",496041
6,"CALIFORNIA",9,"2020-04-01",503104
6,"CALIFORNIA",10,"2020-04-01",506920
6,"CALIFORNIA",11,"2020-04-01",519686
6,"CALIFORNIA",12,"2020-04-01",539024
6,"CALIFORNIA",13,"2020-04-01",535111
6,"CALIFORNIA",14,"2020-04-01",522001
6,"CALIFORNIA",15,"2020-04-01",517256
6,"CALIFORNIA",16,"2020-04-01",518398
6,"CALIFORNIA",17,"2020-04-01",512805
8,"COLORADO",5,"2020-04-01",68376
8,"COLORADO",6,"2020-04-01",67991
8,"COLORADO",7,"2020-04-01",67893
8,"COLORADO",8,"2020-04-01",69049
8,"COLORADO",9,"2020-04-01",70541
8,"COLORADO",10,"2020-04-01",72845
8,"COLORADO",11,"2020-04-01",74414
8,"COLORADO",12,"2020-04-01",76259
8,"COLORADO",13,"2020-04-01",76288
8,"COLORADO",14,"2020-04-01",74775
8,"COLORADO",15,"2020-04-01",74363
8,"COLORADO",16,"2020-04-01",75007
8,"COLORADO",17,"2020-04-01",73438
9,"CONNECTICUT",5,"2020-04-01",38627
9,"CONNECTICUT",6,"2020-04-01",38558
9,"CONNECTICUT",7,"2020-04-01",39009
9,"CONNECTICUT",8,"2020-04-01",39718
9,"CONNECTICUT",9,"2020-04-01",40679
9,"CONNECTICUT",10,"2020-04-01",41957
9,"CONNECTICUT",11,"2020-04-01",43671
9,"CONNECTICUT",12,"2020-04-01",45389
9,"CONNECTICUT",13,"2020-04-01",45884
9,"CONNECTICUT",14,"2020-04-01",45903
9,"CONNECTICUT",15,"2020-04-01",46315
9,"CONNECTICUT",16,"2020-04-01",47167
9,"CONNECTICUT",17,"2020-04-01",47148
10,"DELAWARE",5,"2020-04-01",11272
10,"DELAWARE",6,"2020-04-01",11257
