sch_year,fips,state,grade,enrollment
2019-2020,5,AR,pk_12_total,19877
2019-2020,6,CA,grade_1,35908
2019-2020,6,CA,grade_10,38213
2019-2020,6,CA,grade_11,37528
2019-2020,6,CA,grade_12,36953
2019-2020,6,CA,grade_2,34789
2019-2020,6,CA,grade_3,34371
2019-2020,6,CA,grade_4,34355
2019-2020,6,CA,grade_5,34136
2019-2020,6,CA,grade_6,37414
2019-2020,6,CA,grade_7,37854
2019-2020,6,CA,grade_8,38325
2019-2020,6,CA,grade_9,38425
2019-2020,6,CA,k_12_total,488984
2019-2020,6,CA,kindergarten,43624
2019-2020,6,CA,ungraded_elementary,1977
2019-2020,6,CA,ungraded_secondary,5112
2019-2020,8,CO,grade_1,2574
2019-2020,8,CO,grade_10,2657
2019-2020,8,CO,grade_11,2582
2019-2020,8,CO,grade_12,2464
2019-2020,8,CO,grade_2,2493
2019-2020,8,CO,grade_3,2534
2019-2020,8,CO,grade_4,2574
2019-2020,8,CO,grade_5,2635
2019-2020,8,CO,grade_6,2740
2019-2020,8,CO,grade_7,2656
2019-2020,8,CO,grade_8,2558
2019-2020,8,CO,grade_9,2724
2019-2020,8,CO,k_12_total,34409
2019-2020,8,CO,kindergarten,3218
2019-2020,9,CT,grade_1,2291
2019-2020,9,CT,grade_10,5703
2019-2020,9,CT,grade_11,5993
2019-2020,9,CT,grade_12,6331
2019-2020,9,CT,grade_2,2378
2019-2020,9,CT,grade_3,2512
2019-2020,9,CT,grade_4,2593
2019-2020,9,CT,grade_5,2801
2019-2020,9,CT,grade_6,3227
2019-2020,9,CT,grade_7,3519
2019-2020,9,CT,grade_8,3614
2019-2020,9,CT,grade_9,5362
2019-2020,9,CT,k_12_total,48717
2019-2020,9,CT,kindergarten_extended,24
2019-2020,9,CT,kindergarten_full_day,2333
2019-2020,9,CT,kindergarten_half_day,36
2019-2020,10,DE,k_12_total,15074
2019-2020,11,DC,k_12_total,15107
2019-2020,12,FL,grade_1,27020
2019-2020,12,FL,grade_10,25641
2019-2020,12,FL,grade_11,24290
2019-2020,12,FL,grade_12,25125
2019-2020,12,FL,grade_2,27154
2019-2020,12,FL,grade_3,27409
2019-2020,12,FL,grade_4,26848
2019-2020,12,FL,grade_5,27172
2019-2020,12,FL,grade_6,29332
2019-2020,12,FL,grade_7,28447
2019-2020,12,FL,grade_8,27672
2019-2020,12,FL,grade_9,26693
2019-2020,12,FL,k_12_total,352821
2019-2020,12,FL,kindergarten,30018
2019-2020,13,GA,grade_1,6440
2019-2020,13,GA,grade_10,8360
2019-2020,13,GA,grade_11,8064
2019-2020,13,GA,grade_12,7859
2019-2020,13,GA,grade_2,6427
2019-2020,13,GA,grade_3,6526
2019-2020,13,GA,grade_4,6811
2019-2020,13,GA,grade_5,7203
2019-2020,13,GA,grade_6,8492
2019-2020,13,GA,grade_7,8903
2019-2020,13,GA,grade_8,8597
2019-2020,13,GA,grade_9,8352
2019-2020,13,GA,k_12_total,98638
2019-2020,13,GA,kindergarten,6604
2019-2020,15,HI,grade_1,1811
2019-2020,15,HI,grade_10,2960
2019-2020,15,HI,grade_11,2901
2019-2020,15,HI,grade_12,2741
2019-2020,15,HI,grade_2,1720
2019-2020,15,HI,grade_3,1755
2019-2020,15,HI,grade_4,1801
2019-2020,15,HI,grade_5,1817
2019-2020,15,HI,grade_6,2400
2019-2020,15,HI,grade_7,2840
2019-2020,15,HI,grade_8,2728
2019-2020,15,HI,grade_9,2913
2019-2020,15,HI,k_12_total,30492
2019-2020,15,HI,kindergarten,2105
2019-2020,17,IL,grade_1,11587
2019-2020,17,IL,grade_10,11402
2019-2020,17,IL,grade_11,11235
2019-2020,17,IL,grade_12,11013
2019-2020,17,IL,grade_2,11329
2019-2020,17,IL,grade_3,11015
2019-2020,17,IL,grade_4,11132
2019-2020,17,IL,grade_5,11563
2019-2020,17,IL,grade_6,11781
2019-2020,17,IL,grade_7,12179
2019-2020,17,IL,grade_8,11799
2019-2020,17,IL,grade_9,11884
2019-2020,17,IL,k_12_estimate,166582
2019-2020,17,IL,kindergarten,13382
2019-2020,17,IL,pk_12_total,193574
2019-2020,17,IL,pre_k,26854
2019-2020,17,IL,ungraded_elementary,124
2019-2020,17,IL,ungraded_pre_k,138
2019-2020,17,IL,ungraded_secondary,16
2019-2020,18,IN,grade_1,6400
2019-2020,18,IN,grade_10,4983
2019-2020,18,IN,grade_11,4826
2019-2020,18,IN,grade_12,4806
2019-2020,18,IN,grade_2,6384
2019-2020,18,IN,grade_3,6378
2019-2020,18,IN,grade_4,6614
2019-2020,18,IN,grade_5,6492
2019-2020,18,IN,grade_6,6504
2019-2020,18,IN,grade_7,6170
2019-2020,18,IN,grade_8,6058
2019-2020,18,IN,grade_9,4938
2019-2020,18,IN,k_12_total,76976
2019-2020,18,IN,kindergarten,6423
2019-2020,19,IA,grade_1,2972
2019-2020,19,IA,grade_10,1901
2019-2020,19,IA,grade_11,1810
2019-2020,19,IA,grade_12,1798
2019-2020,19,IA,grade_2,3081
2019-2020,19,IA,grade_3,2858
2019-2020,19,IA,grade_4,2902
2019-2020,19,IA,grade_5,2839
2019-2020,19,IA,grade_6,2676
2019-2020,19,IA,grade_7,2582
2019-2020,19,IA,grade_8,2456
2019-2020,19,IA,grade_9,1773
2019-2020,19,IA,k_12_total,32887
2019-2020,19,IA,kindergarten,3239
2019-2020,20,KS,3_and_4y_special_education,17
2019-2020,20,KS,grade_1,2344
2019-2020,20,KS,grade_10,1579
2019-2020,20,KS,grade_11,1681
2019-2020,20,KS,grade_12,1618
2019-2020,20,KS,grade_2,2280
2019-2020,20,KS,grade_3,2282
2019-2020,20,KS,grade_4,2253
2019-2020,20,KS,grade_5,2290
2019-2020,20,KS,grade_6,2145
2019-2020,20,KS,grade_7,2080
2019-2020,20,KS,grade_8,1922
2019-2020,20,KS,grade_9,1624
2019-2020,20,KS,k_12_total,26516
2019-2020,20,KS,kindergarten,2396
2019-2020,20,KS,ungraded_total,5
2019-2020,22,LA,k_12_total,110742
2019-2020,24,MD,grade_1,6279
2019-2020,24,MD,grade_10,8540
2019-2020,24,MD,grade_11,8108
2019-2020,24,MD,grade_12,7888
2019-2020,24,MD,grade_2,6232
2019-2020,24,MD,grade_3,6315
2019-2020,24,MD,grade_4,6320
2019-2020,24,MD,grade_5,6606
2019-2020,24,MD,grade_6,7673
2019-2020,24,MD,grade_7,7761
2019-2020,24,MD,grade_8,8172
2019-2020,24,MD,grade_9,8367
2019-2020,24,MD,k_12_total,95423
2019-2020,24,MD,kindergarten,7162
2019-2020,25,MA,grade_1,3019
2019-2020,25,MA,grade_10,7018
2019-2020,25,MA,grade_11,7170
2019-2020,25,MA,grade_12,7316
2019-2020,25,MA,grade_2,3019
2019-2020,25,MA,grade_3,3200
