state,sch_year,total_enrollment
AR,2019-2020,19877
AR,2020-2021,20202
AR,2021-2022,15484
CA,2019-2020,488984
CA,2020-2021,471653
CA,2021-2022,498486
CO,2019-2020,34409
CO,2020-2021,33080
CO,2021-2022,34916
CT,2019-2020,48717
CT,2020-2021,47016
CT,2021-2022,46853
DC,2019-2020,15107
DC,2020-2021,17027
DC,2021-2022,16220
DE,2019-2020,15074
DE,2020-2021,15829
DE,2021-2022,15630
FL,2019-2020,352821
FL,2020-2021,331572
FL,2021-2022,374962
GA,2019-2020,98638
GA,2020-2021,97240
GA,2021-2022,100246
HI,2019-2020,30492
HI,2020-2021,30016
HI,2021-2022,31018
IA,2019-2020,32887
IA,2020-2021,30729
IA,2021-2022,33304
IL,2019-2020,193574
IL,2020-2021,176944
IL,2021-2022,190123
IN,2019-2020,76976
IN,2020-2021,73329
IN,2021-2022,76360
KS,2019-2020,26516
KS,2020-2021,25786
KS,2021-2022,26346
LA,2019-2020,110742
LA,2020-2021,104925
LA,2021-2022,107489
MA,2019-2020,61610
MA,2020-2021,71734
MA,2021-2022,72450
MD,2019-2020,95423
MD,2020-2021,98180
MD,2021-2022,97900
MI,2019-2020,92426
MI,2020-2021,88961
MI,2021-2022,90976
MN,2019-2020,65657
MN,2020-2021,66138
MN,2021-2022,69971
MT,2019-2020,7845
MT,2020-2021,7600
MT,2021-2022,8634
NC,2019-2020,103959
NC,2020-2021,107341
NC,2021-2022,115311
ND,2019-2020,8353
ND,2020-2021,8296
ND,2021-2022,8463
NE,2019-2020,33725
NE,2020-2021,32316
NE,2021-2022,33028
NH,2019-2020,14426
NH,2020-2021,14980
NH,2021-2022,15926
NJ,2019-2020,148678
NJ,2020-2021,148215
NJ,2021-2022,152311
NV,2019-2020,19325
NV,2020-2021,19427
NV,2021-2022,20893
NY,2019-2020,390779
NY,2020-2021,382644
NY,2021-2022,382510
OH,2019-2020,166189
OH,2020-2021,162917
OH,2021-2022,167395
PA,2019-2020,199227
PA,2020-2021,203322
PA,2021-2022,211201
RI,2019-2020,11167
RI,2020-2021,8053
RI,2021-2022,14727
SC,2019-2020,36703
SC,2020-2021,33492
SC,2021-2022,37311
SD,2019-2020,15468
SD,2020-2021,14547
SD,2021-2022,14531
TN,2019-2020,79590
TN,2020-2021,87360
TN,2021-2022,98452
TX,2019-2020,235590
TX,2021-2022,268752
VT,2020-2021,8616
VT,2021-2022,8966
WA,2019-2020,73608
WA,2020-2021,74856
WA,2021-2022,88058
WI,2019-2020,114752
WI,2020-2021,114508
WI,2021-2022,116969
WV,2019-2020,11248
WV,2020-2021,11241
WV,2021-2022,11769
