state,sch_year,total_enrollment
AR,2019-2020,19877
CA,2019-2020,488984
CO,2019-2020,34409
CT,2019-2020,48717
DC,2019-2020,15107
DE,2019-2020,15074
FL,2019-2020,352821
GA,2019-2020,98638
HI,2019-2020,30492
IA,2019-2020,32887
IL,2019-2020,193574
IN,2019-2020,76976
KS,2019-2020,26516
LA,2019-2020,110742
MA,2019-2020,61610
MD,2019-2020,95423
MI,2019-2020,92426
MN,2019-2020,65657
MT,2019-2020,7845
NC,2019-2020,103959
ND,2019-2020,8353
NE,2019-2020,33725
NH,2019-2020,14426
NJ,2019-2020,148678
NV,2019-2020,19325
NY,2019-2020,390779
OH,2019-2020,166189
PA,2019-2020,199227
RI,2019-2020,11167
SC,2019-2020,36703
SD,2019-2020,15468
TN,2019-2020,79590
TX,2019-2020,235590
WA,2019-2020,73608
WI,2019-2020,114752
WV,2019-2020,11248
