sch_year,fips,state,st,grade,enrollment,data_source
2019-2020,1,ALABAMA,AL,grade_1,56246,CCD federal data
2019-2020,1,ALABAMA,AL,grade_10,54589,CCD federal data
2019-2020,1,ALABAMA,AL,grade_11,51712,CCD federal data
2019-2020,1,ALABAMA,AL,grade_12,50889,CCD federal data
2019-2020,1,ALABAMA,AL,grade_2,54912,CCD federal data
2019-2020,1,ALABAMA,AL,grade_3,54882,CCD federal data
2019-2020,1,ALABAMA,AL,grade_4,55673,CCD federal data
2019-2020,1,ALABAMA,AL,grade_5,57817,CCD federal data
2019-2020,1,ALABAMA,AL,grade_6,58932,CCD federal data
2019-2020,1,ALABAMA,AL,grade_7,58344,CCD federal data
2019-2020,1,ALABAMA,AL,grade_8,56228,CCD federal data
2019-2020,1,ALABAMA,AL,grade_9,57898,CCD federal data
2019-2020,1,ALABAMA,AL,k_12_total,724178,CCD federal data
2019-2020,1,ALABAMA,AL,kindergarten,56056,CCD federal data
2019-2020,1,ALABAMA,AL,unspecified,0,CCD federal data
2019-2020,2,ALASKA,AK,grade_1,9936,CCD federal data
2019-2020,2,ALASKA,AK,grade_10,9299,CCD federal data
2019-2020,2,ALASKA,AK,grade_11,9138,CCD federal data
2019-2020,2,ALASKA,AK,grade_12,9483,CCD federal data
2019-2020,2,ALASKA,AK,grade_2,10031,CCD federal data
2019-2020,2,ALASKA,AK,grade_3,10034,CCD federal data
2019-2020,2,ALASKA,AK,grade_4,10127,CCD federal data
2019-2020,2,ALASKA,AK,grade_5,10235,CCD federal data
2019-2020,2,ALASKA,AK,grade_6,10216,CCD federal data
2019-2020,2,ALASKA,AK,grade_7,10000,CCD federal data
2019-2020,2,ALASKA,AK,grade_8,9756,CCD federal data
2019-2020,2,ALASKA,AK,grade_9,9730,CCD federal data
2019-2020,2,ALASKA,AK,k_12_total,128033,CCD federal data
2019-2020,2,ALASKA,AK,kindergarten,10048,CCD federal data
2019-2020,2,ALASKA,AK,unspecified,0,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_1,82486,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_10,89085,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_11,84185,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_12,89945,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_2,82405,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_3,83112,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_4,83790,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_5,87981,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_6,91456,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_7,92241,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_8,90751,CCD federal data
2019-2020,4,ARIZONA,AZ,grade_9,91445,CCD federal data
2019-2020,4,ARIZONA,AZ,k_12_total,1130693,CCD federal data
